,Description,Source,Rent
1390,Property Services LLC,synthetic,0
1391,Facility Solutions,synthetic,0
1392,Facility Solutions,synthetic,0
1393,Maintenance fee + insurance,synthetic,0
1394,Remittance to Moore,synthetic,1
1395,Unit charge for residential unit,synthetic,1
1396,Maintenance fee incl. services,synthetic,0
1397,Complex Services,synthetic,0
1398,Rent payment (apartment),synthetic,1
1399,Utilitie payment,synthetic,0
1400,R3nt fee,synthetic,1
1401,Remittance to Moore,synthetic,1
1402,Transfer to Miller,synthetic,1
1403,Service 15th auto,synthetic,0
1404,RENT~MONTHLY,synthetic,1
1405,ACH to Johnson LLC,synthetic,0
1406,Premises Services,synthetic,0
1407,SERVICE - AUTO,synthetic,0
1408,Service 15th auto,synthetic,0
1409,Spot payment,synthetic,1
1410,RENT PAYMENT (MONTHLY),synthetic,1
1411,Residential payment Semi-monthly,synthetic,1
1412,Rental payment,synthetic,1
1413,Housing Associates,synthetic,0
1414,SERVICE - RECURRING,synthetic,0
1415,ACH to Johnson LLC,synthetic,0
1416,FEE - AUTO,synthetic,0
1417,Utility fee incl. services,synthetic,0
1418,Remittance to Moore,synthetic,1
1419,Habitation remittance with utilities,synthetic,1
1420,Maintenance fee + insurance,synthetic,0
1421,Residential payment Bi-weekly,synthetic,1
1422,UTILITY - RECURRING,synthetic,0
1423,Service 5th monthly,synthetic,0
1424,Zelle to Davis,synthetic,0
1425,Property remittance,synthetic,0
1426,End of month remittance (Unit 19B),synthetic,1
1427,HOA fee + tax,synthetic,0
1428,Housing Associates,synthetic,0
1429,Complex charge for residential unit,synthetic,1
1430,Domicile Solutions,synthetic,1
1431,Wire to Thompson,synthetic,1
1432,Property Services LLC,synthetic,0
1433,Semi-monthly residence,synthetic,0
1434,FEE - AUTO,synthetic,0
1435,Recurring transfer to Smith,synthetic,0
1436,Semi-monthly residence,synthetic,0
1437,Excluding rent - HOA,synthetic,0
1438,Rent (missed auto),synthetic,1
1439,Residential payment 15th auto,synthetic,1
1440,Subscription 5th monthly,synthetic,0
1441,Invoice: RESIDENCE,synthetic,1
1442,HOA fee + insurance,synthetic,0
1443,Subscripton payment,synthetic,0
1444,RENT PAYMENT (MONTHLY),synthetic,1
1445,End of month remittance,synthetic,1
1446,Condo fee,synthetic,1
1447,Maintenence payment,synthetic,0
1448,Service fee + insurance,synthetic,0
1449,End of month remittance,synthetic,0
1450,Rental payment,synthetic,0
1451,Rent payment ,synthetic,1
1452,Complex Services,synthetic,0
1453,Semi-monthly residence,synthetic,0
1454,FEE - MONTHLY,synthetic,0
1455,Housing Associates,synthetic,0
1456,Maintenance fee incl. services,synthetic,0
1457,Tenancy remittance,synthetic,1
1458,Periodic 30th payment,synthetic,1
1459,Rent payment ,synthetic,1
1460,Building Management,synthetic,0
1461,Invoice #APT2024-001,synthetic,1
1462,Independent of rent - repair,synthetic,0
1463,Utilitie payment,synthetic,0
1464,Domicile Solutions,synthetic,0
1465,Rent-paymnt,synthetic,1
1466,CHARGE - MONTHLY,synthetic,0
1467,Servise payment,synthetic,0
1468,Wire to Thompson,synthetic,0
1469,Recurring transfer to Smith,synthetic,0
1470,RENT|AUTO,synthetic,1
1471,Condo fee,synthetic,1
1472,UTILITY - AUTO,synthetic,0
1473,Rent(payment),synthetic,1
1474,Residential facility fee,synthetic,1
1475,Non-rent housing expense,synthetic,0
1476,Rent payment (primary residence),synthetic,1
1477,Tenancy payment,synthetic,0
1478,Rent-pay ment,synthetic,1
1479,FEE - MONTHLY,synthetic,0
1480,Property fee for residential unit,synthetic,1
1481,500 Oak Ave payment,synthetic,1
1482,Subscription 1st of month,synthetic,0
1483,Unit Management,synthetic,0
1484,Besides rent - insurance,synthetic,0
1485,Residential payment 20th periodic,synthetic,1
1486,Monthly payment to John,synthetic,0
1487,Recurring transfer to Smith,synthetic,0
1488,Residential payment First Monday,synthetic,1
1489,SERVICE - RECURRING,synthetic,0
1490,Digs payment,synthetic,1
1491,Recurring 1st week,synthetic,0
1492,Independent of rent - repair,synthetic,0
1493,Crib fee,synthetic,0
1494,Debit to Anderson,synthetic,0
1495,Facility Solutions (Unit 11C),synthetic,1
1496,Building fee for residential unit,synthetic,1
1497,Lease fee,synthetic,0
1498,Subscription 20th periodic,synthetic,0
1499,CHARGE - RECURRING,synthetic,0
1500,SERVICE - MONTHLY,synthetic,0
1501,FEE - MONTHLY,synthetic,0
1502,Crib fee,synthetic,0
1503,Dwelling disbursement plus fees,synthetic,1
1504,Place remittance,synthetic,1
1505,Abode payment plus insurance,synthetic,1
1506,RENT>>PAYMENT,synthetic,1
1507,Condo fee,synthetic,0
1508,Check #1234 for monthly,synthetic,0
1509,Residential Services,synthetic,0
1510,Building disbursement for residential unit,synthetic,1
1511,Transfer to Miller,synthetic,0
1512,Property Services LLC,synthetic,0
1513,Semi-monthly residence,synthetic,0
1514,Rent..payment,synthetic,1
1515,Place remittance,synthetic,1
1516,Residential payment Bi-weekly,synthetic,1
1517,Service 1st of month,synthetic,0
1518,SERVICE - AUTO,synthetic,0
1519,Dwelling remittance,synthetic,1
1520,Place remittance,synthetic,1
1521,Property Services LLC,synthetic,0
1522,Lease obligation payment,synthetic,1
1523,Spot payment,synthetic,1
1524,Ref: RES-UNIT-5B,synthetic,1
1525,Mid-month transfer,synthetic,0
1526,Rent/payment,synthetic,1
1527,Facility Solutions,synthetic,0
1528,Periodic 30th payment,synthetic,1
1529,First of month payment,synthetic,1
1530,Premises Services,synthetic,1
1531,Accommodation remittance including tax,synthetic,1
1532,Utility fee + insurance,synthetic,0
1533,Unit fee,synthetic,0
1534,ACH to Johnson LLC,synthetic,1
1535,Property Services LLC,synthetic,1
1536,Facility Solutions,synthetic,0
1537,Rent(payment),synthetic,1
1538,Residential payment 1st of month,synthetic,1
1539,Ref: RES-UNIT-5B,synthetic,1
1540,Abode payment plus insurance,synthetic,1
1541,Rant remittance,synthetic,1
1542,Monthly housing and utilities bundle,synthetic,1
1543,Habitation remittance,synthetic,1
1544,Apart from rent - maintenance,synthetic,0
1545,Strata payment,synthetic,1
1546,Rent payment (apartment),synthetic,1
1547,Periodic 30th payment,synthetic,1
1548,Lease fee for residential unit,synthetic,1
1549,Property Services LLC,synthetic,0
1550,Domicile Solutions (Unit 31C),synthetic,1
1551,Real estate management fee,synthetic,1
1552,Maintenance fee + tax,synthetic,0
1553,RENT - DO NOT DELETE,synthetic,1
1554,RENT PAYMENT (MONTHLY),synthetic,1
1555,End of month remittance,synthetic,0
1556,Debit to Anderson,synthetic,0
1557,Crib fee,synthetic,0
1558,Debit to Anderson,synthetic,1
1559,Subscripton payment,synthetic,0
1560,Lodgings remittance,synthetic,0
1561,Housing Associates,synthetic,0
1562,RENT~MONTHLY,synthetic,1
1563,Periodic 30th payment,synthetic,0
1564,Digs payment,synthetic,0
1565,Additional to rent - fee,synthetic,0
1566,ACH to Johnson LLC,synthetic,0
1567,Residential payment 5th monthly,synthetic,1
1568,Property Services LLC (Unit 48C),synthetic,1
1569,Maintenence payment,synthetic,0
1570,Apartment payment + parking,synthetic,1
1571,Place remittance,synthetic,0
1572,Complex payment,synthetic,0
1573,UTILITY - RECURRING,synthetic,0
1574,RENT_INVOICE_001,synthetic,1
1575,Flat fee,synthetic,0
1576,HOA fee + insurance,synthetic,0
1577,Apartment 12C fee,synthetic,1
1578,RENT>>PAYMENT,synthetic,1
1579,Remittance to Moore,synthetic,0
1580,RENT-RECURRING,synthetic,1
1581,Subscripton payment,synthetic,0
1582,Maintenance fee incl. services,synthetic,0
1583,Residential payment First Monday,synthetic,1
1584,CHARGE - RECURRING,synthetic,0
1585,FEE - RECURRING,synthetic,0
1586,RENT-RECURRING,synthetic,1
1587,Monthly housing and utilities bundle,synthetic,1
1588,Membership Every 30 days,synthetic,0
1589,Abode disbursement,synthetic,1
1590,Condo fee,synthetic,0
1591,Unit payment,synthetic,0
1592,Unit Management,synthetic,0
1593,Monthly payment to John,synthetic,0
1594,Mid-month transfer,synthetic,0
1595,Rent..payment,synthetic,1
1596,Premises fee with service charge,synthetic,1
1597,Complex charge for residential unit,synthetic,1
1598,RENT: UNIT 304,synthetic,1
1599,123 Main St monthly,synthetic,1
1600,Unit Management,synthetic,1
1601,Housing Associates,synthetic,0
1602,Dwelling disbursement plus fees,synthetic,1
1603,Subscripton payment,synthetic,0
1604,Residential payment Semi-monthly,synthetic,1
1605,Mid-month transfer,synthetic,1
1606,Spot payment,synthetic,0
1607,Residence fee including amenities,synthetic,1
1608,Remittance: DWELLING,synthetic,1
1609,Residential payment Semi-monthly,synthetic,1
1610,R3nt fee,synthetic,1
1611,Unit Management,synthetic,0
1612,RENT|AUTO,synthetic,1
1613,Housing allocation payment,synthetic,1
1614,Place remittance,synthetic,1
1615,Zelle to Davis,synthetic,0
1616,Besides rent - insurance,synthetic,0
1617,Building Management,synthetic,0
1618,Subscripton payment,synthetic,0
1619,Rent (missed auto),synthetic,1
1620,Utility fee + insurance,synthetic,0
1621,RENT_INVOICE_001,synthetic,1
1622,Apart from rent - maintenance,synthetic,0
1623,Mid-month transfer,synthetic,0
1624,Maintenence payment,synthetic,0
1625,Rent payment (primary residence),synthetic,1
1626,Premises Services,synthetic,1
1627,Utilitie payment,synthetic,0
1628,HOA fee incl. services,synthetic,0
1629,Habitation remittance with utilities,synthetic,1
1630,Subscription Calendar month,synthetic,0
1631,Real Estate Solutions,synthetic,0
1632,Digs payment,synthetic,1
1633,Residential payment Calendar month,synthetic,1
1634,Remittance to Moore (Unit 8B),synthetic,1
1635,Utility fee + tax,synthetic,0
1636,End of month remittance (Unit 39C),synthetic,1
1637,Building disbursement,synthetic,0
1638,Maintenance fee + insurance,synthetic,0
1639,500 Oak Ave payment,synthetic,1
1640,Besides rent - insurance,synthetic,0
1641,Unit fee for residential unit,synthetic,1
1642,Maintenence payment,synthetic,0
1643,Zelle to Davis,synthetic,1
1644,Rent payment ,synthetic,1
1645,Residential payment First Monday,synthetic,1
1646,Rent payment (apartment),synthetic,1
1647,Payment to Wilson,synthetic,0
1648,Premises fee with service charge,synthetic,1
1649,Property fee for residential unit,synthetic,1
1650,Check #1234 for monthly,synthetic,0
1651,Building disbursement for residential unit,synthetic,1
1652,Unit letting,synthetic,1
1653,Accommodation remittance including tax,synthetic,1
1654,Remittance to Moore,synthetic,0
1655,Utilitie payment,synthetic,0
1656,Residential payment Every 30 days,synthetic,1
1657,Subscripton payment,synthetic,0
1658,Rnet payment,synthetic,1
1659,Flat fee,synthetic,1
1660,Rental payment,synthetic,0
1661,Mid-month transfer,synthetic,0
1662,Service fee + insurance,synthetic,0
1663,Apartment 12C fee,synthetic,1
1664,Invoice: RESIDENCE,synthetic,1
1665,Excluding rent - HOA,synthetic,0
1666,Rent payment (apartment),synthetic,1
1667,RENT-RECURRING,synthetic,1
1668,123 Main St monthly,synthetic,1
1669,Utility fee incl. services,synthetic,0
1670,Tenancy payment,synthetic,0
1671,Strata payment,synthetic,1
1672,Residential payment 5th monthly,synthetic,1
1673,Debit to Anderson,synthetic,0
1674,Check #1234 for monthly,synthetic,0
1675,Remittance to Moore,synthetic,0
1676,Spot payment,synthetic,0
1677,Residential occupancy fee,synthetic,1
1678,Rent with included services,synthetic,1
1679,Rental payment,synthetic,0
1680,Apartment payment + parking,synthetic,1
1681,Service fee incl. services,synthetic,0
1682,RENT_INVOICE_001,synthetic,1
1683,Unit Management (Unit 36B),synthetic,1
1684,End of month remittance,synthetic,0
1685,Utilitie payment,synthetic,0
1686,Spot payment,synthetic,0
1687,Mid-month transfer,synthetic,1
1688,Monthly payment to John,synthetic,0
1689,Utilitie payment,synthetic,0
1690,Independent of rent - repair,synthetic,0
1691,Service Calendar month,synthetic,0
1692,UTILITY - MONTHLY,synthetic,0
1693,Condo fee,synthetic,1
1694,Rent payment (apartment),synthetic,1
1695,Rent ;payment,synthetic,1
1696,Rent payment ,synthetic,1
1697,Unit fee for residential unit,synthetic,1
1698,Residential payment 15th auto,synthetic,1
1699,First of month payment,synthetic,0
1700,RENT~MONTHLY,synthetic,1
1701,Unit payment,synthetic,0
1702,Rent payment ,synthetic,1
1703,Service 1st of month,synthetic,0
1704,FEE - MONTHLY,synthetic,0
1705,Semi-monthly residence,synthetic,0
1706,Membership 10th recurring,synthetic,0
1707,Rent payment (primary residence),synthetic,1
1708,Check #1234 for monthly,synthetic,0
1709,Habitation remittance with utilities,synthetic,1
1710,ACH to Johnson LLC,synthetic,0
1711,Check #1234 for monthly,synthetic,1
1712,Rent(payment),synthetic,1
1713,Complex management remittance,synthetic,1
1714,Utility fee + tax,synthetic,0
1715,Lease fee for residential unit,synthetic,1
1716,Payment to Wilson,synthetic,0
1717,My unit disbursement,synthetic,1
1718,Facility Solutions,synthetic,1
1719,Property payment for residential unit,synthetic,1
1720,Tenancy payment,synthetic,0
1721,Rant fee,synthetic,1
1722,Lodgings remittance,synthetic,0
1723,Non-rent housing expense,synthetic,0
1724,Spot payment,synthetic,1
1725,Periodic 30th payment,synthetic,1
1726,Property fee,synthetic,0
1727,Recurring 1st week (Unit 33B),synthetic,1
1728,Check #1234 for monthly,synthetic,0
1729,Place I stay remittance,synthetic,1
1730,Letting fee,synthetic,1
1731,RENT #2024-001,synthetic,1
1732,Utility fee + insurance,synthetic,0
1733,Accommodation remittance including tax,synthetic,1
1734,Payment to Wilson (Unit 41B),synthetic,1
1735,Facility Solutions,synthetic,0
1736,Rent payment (apartment),synthetic,1
1737,Rent with included services,synthetic,1
1738,Membership 5th monthly,synthetic,0
1739,Monthly payment to John,synthetic,0
1740,Service Semi-monthly,synthetic,0
1741,Debit to Anderson,synthetic,0
1742,Besides rent - insurance,synthetic,0
1743,RENT: UNIT 304,synthetic,1
1744,Residential payment 1st of month,synthetic,1
1745,Subscription Quarterly,synthetic,0
1746,Building disbursement for residential unit,synthetic,1
1747,Residential Services,synthetic,1
1748,FEE - MONTHLY,synthetic,0
1749,RENT PAYMENT (MONTHLY),synthetic,1
1750,Residential Services,synthetic,0
1751,Property remittance,synthetic,0
1752,SERVICE - RECURRING,synthetic,0
1753,Facility management disbursement,synthetic,1
1754,Complex payment for residential unit,synthetic,1
1755,Residential payment 25th standing,synthetic,1
1756,Transfer to Miller,synthetic,0
1757,Rent ;payment,synthetic,1
1758,RENT PAYMENT (MONTHLY),synthetic,1
1759,Facility management disbursement,synthetic,1
1760,Additional to rent - fee,synthetic,0
1761,Residential occupancy fee,synthetic,1
1762,Membership First Monday,synthetic,0
1763,Residential payment 20th periodic,synthetic,1
1764,Rent with included services,synthetic,1
1765,Rent payment (primary residence),synthetic,1
1766,Check #1234 for monthly,synthetic,0
1767,Unit Management (Unit 14C),synthetic,1
1768,Premises Services,synthetic,1
1769,Real estate management fee,synthetic,1
1770,Membership Every 30 days,synthetic,0
1771,RENT PAYMENT (MONTHLY),synthetic,1
1772,Monthly on 15th,synthetic,1
1773,Residential payment Bi-weekly,synthetic,1
1774,Property payment,synthetic,0
1775,Domicile Solutions,synthetic,0
1776,My house monthly,synthetic,1
1777,Service 10th recurring,synthetic,0
1778,Rent (missed auto),synthetic,1
1779,Residential payment First Monday,synthetic,1
1780,Subscription 10th recurring,synthetic,0
1781,HOA fee + insurance,synthetic,0
1782,RENT - APT 5B,synthetic,1
1783,Bi-weekly housing,synthetic,0
1784,First of month payment,synthetic,0
1785,Building disbursement for residential unit,synthetic,1
1786,Recurring transfer to Smith,synthetic,0
1787,Domicile Solutions,synthetic,0
1788,Monthly payment to John,synthetic,1
1789,Complex management remittance,synthetic,1
1790,Semi-monthly residence,synthetic,0
1791,Real Estate Solutions,synthetic,0
1792,Subscription Semi-monthly,synthetic,0
1793,Lodgings remittance,synthetic,1
1794,RENT: UNIT 304,synthetic,1
1795,Utility fee + tax,synthetic,0
1796,Property payment for residential unit,synthetic,1
1797,RENT - APT 5B,synthetic,1
1798,Subscription Last day,synthetic,0
1799,Subscription First Monday,synthetic,0
1800,HOA fee incl. services,synthetic,0
1801,Tenancy remittance,synthetic,1
1802,Rent payment (apartment),synthetic,1
1803,Tenancy payment,synthetic,1
1804,Membership Quarterly,synthetic,0
1805,FEE - RECURRING,synthetic,0
1806,Landlord services payment,synthetic,1
1807,Unit letting,synthetic,0
1808,Membership Last day,synthetic,0
1809,End of month remittance,synthetic,0
1810,Property Services LLC,synthetic,0
1811,Abode payment plus insurance,synthetic,1
1812,Habitation remittance with utilities,synthetic,1
1813,Digs payment,synthetic,0
1814,Accommodation remittance including tax,synthetic,1
1815,Where I live payment,synthetic,1
1816,Tenancy remittance,synthetic,1
1817,Unit payment including maintenance,synthetic,1
1818,Membership Quarterly,synthetic,0
1819,Membership Semi-monthly,synthetic,0
1820,123 Main St monthly,synthetic,1
1821,Complex charge for residential unit,synthetic,1
1822,Building fee for residential unit,synthetic,1
1823,Monthly on 15th,synthetic,1
1824,Subscripton payment,synthetic,0
1825,HOA fee + insurance,synthetic,0
1826,Recurring transfer to Smith,synthetic,1
1827,Wire to Thompson,synthetic,0
1828,Habitation remittance with utilities,synthetic,1
1829,Premises Services,synthetic,1
1830,Unit Management (Unit 39C),synthetic,1
1831,SERVICE - MONTHLY,synthetic,0
1832,Wire to Thompson,synthetic,0
1833,Apartment 12C fee,synthetic,1
1834,Residential payment 1st of month,synthetic,1
1835,Mid-month transfer,synthetic,0
1836,Remittance to Moore,synthetic,0
1837,Transfer to Miller,synthetic,0
1838,Zelle to Davis,synthetic,0
1839,RENT - APT 5B,synthetic,1
1840,HOA fee + insurance,synthetic,0
1841,RENT>>PAYMENT,synthetic,1
1842,Rent payment (primary residence),synthetic,1
1843,Remittance to Moore,synthetic,1
1844,Remittance: DWELLING,synthetic,1
1845,Check #1234 for monthly,synthetic,0
1846,Servise payment,synthetic,0
1847,SERVICE - RECURRING,synthetic,0
1848,Rent payment ,synthetic,1
1849,500 Oak Ave payment,synthetic,1
1850,Rent payment ,synthetic,1
1851,Check #1234 for monthly (Unit 25C),synthetic,1
1852,Domicile Solutions,synthetic,1
1853,Recurring transfer to Smith,synthetic,1
1854,Domicile Solutions,synthetic,1
1855,End of month remittance,synthetic,0
1856,Complex Services,synthetic,0
1857,Unit charge for residential unit,synthetic,1
1858,Unit payment including maintenance,synthetic,1
1859,Monthly housing and utilities bundle,synthetic,1
1860,Tenancy remittance,synthetic,1
1861,Rant fee,synthetic,1
1862,Facility Solutions,synthetic,0
1863,Lease charge,synthetic,0
1864,Residential payment Calendar month,synthetic,1
1865,R3nt fee,synthetic,1
1866,Payment to Wilson,synthetic,0
1867,Residential payment 25th standing,synthetic,1
1868,Complex Services,synthetic,0
1869,Monthly payment to John,synthetic,0
1870,Residential payment Semi-monthly,synthetic,1
1871,Residential occupancy fee,synthetic,1
1872,Property remittance for residential unit,synthetic,1
1873,Servise payment,synthetic,0
1874,Tenancy payment,synthetic,1
1875,Unit payment including maintenance,synthetic,1
1876,Crib fee,synthetic,0
1877,Besides rent - insurance,synthetic,0
1878,End of month remittance,synthetic,0
1879,Lease payment,synthetic,0
1880,Residence disbursement,synthetic,1
1881,Pad payment,synthetic,1
1882,Premises fee with service charge,synthetic,1
1883,RENT: UNIT 304,synthetic,1
1884,Unit fee,synthetic,0
1885,Debit to Anderson,synthetic,1
1886,Monthly housing and utilities bundle,synthetic,1
1887,Semi-monthly residence (Unit 7A),synthetic,1
1888,Check #1234 for monthly,synthetic,0
1889,Utility fee + insurance,synthetic,0
1890,Spot payment,synthetic,1
1891,Premises Services,synthetic,0
1892,Rent payment (primary residence),synthetic,1
1893,Letting fee,synthetic,0
1894,Residential payment First Monday,synthetic,1
1895,SERVICE - RECURRING,synthetic,0
1896,Accommodation remittance including tax,synthetic,1
1897,Property fee,synthetic,0
1898,Maintenance fee + tax,synthetic,0
1899,Bi-weekly housing,synthetic,0
1900,Servise payment,synthetic,0
1901,Payment to Wilson,synthetic,0
1902,Lease payment for residential unit,synthetic,1
1903,Building Management,synthetic,1
1904,Crib fee,synthetic,1
1905,Rent(payment),synthetic,1
1906,CHARGE - AUTO,synthetic,0
1907,Rent payment (primary residence),synthetic,1
1908,Transfer to Miller,synthetic,0
1909,Property payment,synthetic,0
1910,Strata payment,synthetic,1
1911,Rent payment (primary residence),synthetic,1
1912,RENT - APT 5B,synthetic,1
1913,Service 1st of month,synthetic,0
1914,Residential payment Last day,synthetic,1
1915,Facility Solutions,synthetic,0
1916,Recurring transfer to Smith,synthetic,0
1917,Utility fee incl. services,synthetic,0
1918,Building Management,synthetic,0
1919,Unit fee,synthetic,0
1920,Place remittance,synthetic,0
1921,Monthly premises fee,synthetic,1
1922,Complex management remittance,synthetic,1
1923,Recurring 1st week,synthetic,0
1924,Maintenence payment,synthetic,0
1925,Property remittance for residential unit,synthetic,1
1926,Rant remittance,synthetic,1
1927,Premises fee with service charge,synthetic,1
1928,Rental payment,synthetic,0
1929,Zelle to Davis,synthetic,0
1930,Flat fee,synthetic,0
1931,Monthly payment to John,synthetic,0
1932,Spot payment,synthetic,1
1933,Membership First Monday,synthetic,0
1934,Membership Monthly anniversary,synthetic,0
1935,Payment to Wilson,synthetic,0
1936,Maintenance fee + tax,synthetic,0
1937,Rent payment (apartment),synthetic,1
1938,Tenancy payment,synthetic,0
1939,Apartment payment + parking,synthetic,1
1940,Condo fee,synthetic,1
1941,Residential payment 20th periodic,synthetic,1
1942,Check #1234 for monthly (Unit 29A),synthetic,1
1943,Separate from rent - deposit,synthetic,0
1944,FEE - RECURRING,synthetic,0
1945,Service 1st of month,synthetic,0
1946,Unit fee,synthetic,0
1947,Pad payment,synthetic,1
1948,Rent payment (apartment),synthetic,1
1949,Property payment,synthetic,0
1950,R3nt fee,synthetic,1
1951,Accommodation remittance including tax,synthetic,1
1952,Quarterly dwelling,synthetic,1
1953,Residential Services,synthetic,0
1954,RENT - APT 5B,synthetic,1
1955,Recurring transfer to Smith,synthetic,0
1956,Property fee,synthetic,0
1957,Utility fee incl. services,synthetic,0
1958,Facility Solutions,synthetic,0
1959,RENT>>PAYMENT,synthetic,1
1960,Distinct from rent - service,synthetic,0
1961,Lease charge,synthetic,0
1962,Complex fee,synthetic,0
1963,Complex fee,synthetic,0
1964,Residential payment 20th periodic,synthetic,1
1965,Strata payment,synthetic,1
1966,Rent payment ,synthetic,1
1967,Condo fee,synthetic,0
1968,Non-rent housing expense,synthetic,0
1969,Servise payment,synthetic,0
1970,Utilitie payment,synthetic,0
1971,UTILITY - AUTO,synthetic,0
1972,Rent payment (primary residence),synthetic,1
1973,RENT - DO NOT DELETE,synthetic,1
1974,Residential Services,synthetic,1
1975,Service fee + insurance,synthetic,0
1976,Lease fee,synthetic,0
1977,Property remittance,synthetic,0
1978,Semi-monthly residence,synthetic,0
1979,Remittance to Moore,synthetic,0
1980,Rent (missed auto),synthetic,1
1981,Recurring transfer to Smith,synthetic,0
1982,Rent payment ,synthetic,1
1983,Apartment payment + parking,synthetic,1
1984,Maintenence payment,synthetic,0
1985,Unit Management (Unit 11C),synthetic,1
1986,Distinct from rent - service,synthetic,0
1987,Lease fee for residential unit,synthetic,1
1988,Rant remittance,synthetic,1
1989,FEE - MONTHLY,synthetic,0
1990,Rent/payment,synthetic,1
1991,Letting fee,synthetic,0
1992,ACH to Johnson LLC,synthetic,0
1993,Digs payment,synthetic,0
1994,Monthly payment to John,synthetic,1
1995,Unit remittance for residential unit,synthetic,1
1996,Debit to Anderson,synthetic,0
1997,Rent (missed auto),synthetic,1
1998,Accommodation remittance including tax,synthetic,1
1999,Besides rent - insurance,synthetic,0
2000,Rent payment ,synthetic,1
2001,Bi-weekly housing,synthetic,1
2002,Subscripton payment,synthetic,0
2003,Property payment,synthetic,0
2004,Residential payment 25th standing,synthetic,1
2005,Residential payment Every 30 days,synthetic,1
2006,Rent payment ,synthetic,1
2007,Recurring 1st week,synthetic,0
2008,Real Estate Solutions,synthetic,0
2009,Periodic 30th payment,synthetic,1
2010,Crib fee,synthetic,0
2011,Check #1234 for monthly,synthetic,0
2012,Maintenence payment,synthetic,0
2013,Residential payment 5th monthly,synthetic,1
2014,UTILITY - MONTHLY,synthetic,0
2015,Tenancy payment,synthetic,0
2016,Lease charge,synthetic,0
2017,RENT PAYMENT (MONTHLY),synthetic,1
2018,Semi-monthly residence,synthetic,0
2019,Property remittance,synthetic,0
2020,First of month payment,synthetic,0
2021,Real Estate Solutions,synthetic,0
2022,Facility Solutions,synthetic,1
2023,Residential payment Quarterly,synthetic,1
2024,Unit remittance for residential unit,synthetic,1
2025,Monthly housing and utilities bundle,synthetic,1
2026,Monthly housing and utilities bundle,synthetic,1
2027,Monthly on 15th,synthetic,0
2028,RENT|AUTO,synthetic,1
2029,Abode payment plus insurance,synthetic,1
2030,Tenancy payment,synthetic,0
2031,ACH to Johnson LLC,synthetic,0
2032,Rant remittance,synthetic,1
2033,RENT - DO NOT DELETE,synthetic,1
2034,Premises Services,synthetic,0
2035,Residential payment 20th periodic,synthetic,1
2036,Subscripton payment,synthetic,0
2037,Digs payment,synthetic,0
2038,Abode payment plus insurance,synthetic,1
2039,NOT rent - utilities,synthetic,0
2040,Flat fee,synthetic,1
2041,Real Estate Solutions,synthetic,0
2042,Residential payment 20th periodic,synthetic,1
2043,Apart from rent - maintenance,synthetic,0
2044,HOA fee incl. services,synthetic,0
2045,Rent payment (primary residence),synthetic,1
2046,RENT|AUTO,synthetic,1
2047,Service 20th periodic,synthetic,0
2048,RENT #2024-001,synthetic,1
2049,Servise payment,synthetic,0
2050,Unit 7B monthly,synthetic,1
2051,Utilitie payment,synthetic,0
2052,Subscripton payment,synthetic,0
2053,RENT PAYMENT (MONTHLY),synthetic,1
2054,Unit letting,synthetic,1
2055,Unit charge for residential unit,synthetic,1
2056,Lease fee for residential unit,synthetic,1
2057,Lease charge for residential unit,synthetic,1
2058,RENT - APT 5B,synthetic,1
2059,Independent of rent - repair,synthetic,0
2060,Payment on 1st of month,synthetic,0
2061,Maintenence payment,synthetic,0
2062,Monthly payment to John,synthetic,0
2063,RENT~MONTHLY,synthetic,1
2064,Rent payment ,synthetic,1
2065,Lodgings remittance,synthetic,0
2066,Check #1234 for monthly,synthetic,0
2067,Abode disbursement,synthetic,1
2068,Membership Every 30 days,synthetic,0
2069,Real Estate Solutions,synthetic,0
2070,Residential payment Every 30 days,synthetic,1
2071,Utilitie payment,synthetic,0
2072,Service fee incl. services,synthetic,0
2073,Maintenence payment,synthetic,0
2074,Zelle to Davis,synthetic,0
2075,Crib fee,synthetic,0
2076,Accommodation remittance including tax,synthetic,1
2077,Unit payment,synthetic,0
2078,RENT~MONTHLY,synthetic,1
2079,Apart from rent - maintenance,synthetic,0
2080,Rent-pay ment,synthetic,1
2081,Excluding rent - HOA,synthetic,0
2082,Subscription 1st of month,synthetic,0
2083,Residence fee including amenities,synthetic,1
2084,CHARGE - AUTO,synthetic,0
2085,Utilitie payment,synthetic,0
2086,CHARGE - RECURRING,synthetic,0
2087,Periodic 30th payment,synthetic,0
2088,Unit letting,synthetic,1
2089,Abode payment plus insurance,synthetic,1
2090,Apartment payment + parking,synthetic,1
2091,RENT-RECURRING,synthetic,1
2092,Servise payment,synthetic,0
2093,Semi-monthly residence,synthetic,0
2094,Subscripton payment,synthetic,0
2095,Rent payment ,synthetic,1
2096,Residential Services,synthetic,0
2097,Rent payment (apartment),synthetic,1
2098,Lease charge for residential unit,synthetic,1
2099,Rent(payment),synthetic,1
2100,Subscription Monthly anniversary,synthetic,0
2101,RENT~MONTHLY,synthetic,1
2102,Maintenence payment,synthetic,0
2103,Transfer to Miller,synthetic,1
2104,Premises fee with service charge,synthetic,1
2105,Unit payment including maintenance,synthetic,1
2106,Rental payment,synthetic,0
2107,Service fee + insurance,synthetic,0
2108,HOA fee + tax,synthetic,0
2109,Complex charge,synthetic,0
2110,Rent payment (apartment),synthetic,1
