,Description,Rent
461,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
462,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
463,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
464,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
465,ZEL ZELLE TO LIU BAOZHU,1
466,DIR OTAKORP INC 2251800552  BR Gofer Reim,0
467,INT INTEREST CREDIT,0
468,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
469,ZEL ZELLE TO BOYACK LINDA,0
470,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
471,ECK PAYPAL PAYPALSI77  BR INST XFER,0
472,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
473,DEP CITIZE SV WEBXFR 1770527921  BR P2P ZUOYANG LI,0
474,ECK PAYPAL PAYPALSI77  BR INST XFER,0
475,ECK DISCOVER 3510020270  BR E PAYMENT,0
476,ECK AMEX EPAYMENT 0005000008  BR ACH PMT,0
477,ZEL ZELLE TO LIU BAOZHU,1
478,ZEL ZELLE FROM LI PING,0
479,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
480,INT INTEREST CREDIT,0
481,ECK Subscription 9000142694  BR Acorns,0
482,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
483,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
484,DEP CITIZE CK WEBXFR 1770527921  BR P2P ZUOYANG LI,0
485,DEP CITIZE SV WEBXFR 1770527921  BR P2P ZUOYANG LI,0
486,ECK DISCOVER 3510020270  BR E PAYMENT,0
487,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
488,ECK CITIZE CK WEBXFR 3770527921  BR ETRANSFER,0
489,ZEL ZELLE TO LIU BAOZHU,1
490,INT INTEREST CREDIT,0
491,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
492,ECK Subscription 9000142694  BR Acorns,0
493,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
494,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
495,ECK PAYPAL PAYPALSI77  BR INST XFER,0
496,ZEL ZELLE TO LIU BAOZHU,1
497,INT INTEREST CREDIT,0
498,ECK CITIZE CK WEBXFR 3770527921  BR ETRANSFER,0
499,DIR FANNIE MAE 9111111101  BR DIRECT DEP,0
500,ECK Subscription 9000142694  BR Acorns,0
501,ECK CITI AUTOPAY CITICARDAP  BR PAYMENT,0
